nombre;latitud;longitud;direccion;valoracion;reseñas_total;nivel_precio;sitio_web;url_maps;distrito_encontrado
Restaurante Mezcal;40.4050422;-3.6819963;Av. de la Ciudad de Barcelona, 13, Retiro, 28007 Madrid, Spain;42;93;N/D;https://www.restaurantemezcal.es/;https://maps.google.com/?cid=7370413304840426196;Arganzuela
Tierra Burrito Bar;40.4017367;-3.6931925;Pl. Luca de Tena, 5, Arganzuela, 28045 Madrid, Spain;42;1520;€;http://www.tierraburritos.com/;https://maps.google.com/?cid=17319087118004366841;Arganzuela
Las Adelitas Restaurante Mexicano;40.4185092;-3.6776586;C. de Ibiza, 11, Retiro, 28009 Madrid, Spain;48;1063;N/D;https://lasadelitas.es/;https://maps.google.com/?cid=14568897827785628321;Arganzuela
TACOS MEXICANOS EL GÜERO;40.3921506;-3.7247612;Metro Urgel, C. Azabache, 6, Carabanchel, 28019 Madrid, Spain;44;437;N/D;https://www.tacoselguero.es/;https://maps.google.com/?cid=6269688554640256848;Arganzuela
Restaurante Mezcal;40.4065474;-3.6778638;Calle de Narciso Serra, 35, Retiro, 28007 Madrid, Spain;44;1812;€€;https://www.restaurantemezcal.es/;https://maps.google.com/?cid=4990387588777885906;Arganzuela
RESTAURANTE MEXICANO Q PADRE;40.4241811;-3.6685845;C. del Dr. Esquerdo, 41, Salamanca, 28028 Madrid, Spain;48;1371;N/D;https://www.instagram.com/restauranteqpadre?igsh=cW9lNHR1OWY5NzRo;https://maps.google.com/?cid=11928544193340851932;Arganzuela
Alamillo Tacos Bar;40.3700673;-3.714029;C. Deva, 83, Usera, 28041 Madrid, Spain;49;190;N/D;https://www.instagram.com/alamillotacosbar?igsh=MTRydm5udjB2YzYxbQ==;https://maps.google.com/?cid=17628469128998413209;Arganzuela
Lemon Mexican;40.4038349;-3.6962787;P.º de Sta. María de la Cabeza, 35, Arganzuela, 28045 Madrid, Spain;30;5;N/D;;https://maps.google.com/?cid=6619365863044432571;Arganzuela
La Mordida;40.413717;-3.673971;C. de Pío Baroja, 9, Retiro, 28009 Madrid, Spain;44;5513;€€;http://www.lamordida.com/;https://maps.google.com/?cid=10856027648196665263;Arganzuela
El Pinche Taco;40.4123943;-3.6989791;C. de Atocha, 67, Centro, 28012 Madrid, Spain;43;1169;N/D;https://elpinchetaco.es/;https://maps.google.com/?cid=15902937282135602068;Arganzuela
De Madrid al Rancho;40.3971431;-3.7160219;Gta. Marqués de Vadillo, 4, Carabanchel, 28019 Madrid, Spain;41;552;€€;https://demadridalrancho.eatbu.com/;https://maps.google.com/?cid=11092053077748838582;Arganzuela
La Tia Juana Madrid-Atocha🇲🇽🌮🌶🌯;40.4114359;-3.6975186;C. de Atocha, 74, Centro, 28012 Madrid, Spain;42;927;€€;https://latiajuanamx.com/restaurantes/;https://maps.google.com/?cid=7474158263059804302;Arganzuela
La Chamana;40.419122;-3.706977;C. de las Navas de Tolosa, 7, Centro, 28013 Madrid, Spain;45;2283;€€;http://www.lachamana.es/;https://maps.google.com/?cid=10478626261417134634;Arganzuela
La Turulita;40.4181816;-3.6774317;dentro del Mercado Municipal!, C. de Ibiza, 8, Puesto 16, Retiro, 28009 Madrid, Spain;47;920;€;https://laturulita.com/?lang=es/?utm_source=GMB&utm_medium=web&utm_campaign=GMB;https://maps.google.com/?cid=885727223446248141;Arganzuela
Mexicanísimo Retiro;40.4199681;-3.6765457;C. de Narváez, 44, Retiro, 28009 Madrid, Spain;45;93;N/D;http://www.mexicanisimo.es/;https://maps.google.com/?cid=9982454035072556596;Retiro
TACAZZO;40.4171515;-3.6761171;C. de Narváez, 61, Local, Retiro, 28009 Madrid, Spain;40;1133;€;http://www.tacazzo.es/;https://maps.google.com/?cid=5833912876421913438;Retiro
La Diavla “Mexican&Wild”;40.4213947;-3.6787822;C. de Antonio Acuña, 19, Retiro, 28009 Madrid, Spain;41;968;N/D;http://www.ladiavla.es/;https://maps.google.com/?cid=457889501680930178;Retiro
Corvina Mx;40.4192545;-3.6734468;C. de Menorca, 44, Bajo 1, Retiro, 28009 Madrid, Spain;47;149;N/D;https://www.corvinamx.com/;https://maps.google.com/?cid=10280729067107561892;Retiro
Benditos Sueños Ibiza | Tacos | Chilaquiles | Mezcal;40.4196822;-3.6777838;C. de Lope de Rueda, 44, Retiro, 28002 Madrid, Spain;46;323;€€;https://benditossueños.com/restaurante-mexicano-retiro/;https://maps.google.com/?cid=1058347864840238948;Retiro
Gracias Padre - Taquería La Roma - Restaurante Mexicano;40.4300682;-3.6757824;C. de José Ortega y Gasset, 55, local 16, Salamanca, 28006 Madrid, Spain;43;5464;€€;http://www.graciaspadre.es/;https://maps.google.com/?cid=383021223366965840;Retiro
CABRÓN Mexican Parrilla;40.4244084;-3.6814512;Calle de Castelló, 24, Salamanca, 28001 Madrid, Spain;49;756;N/D;https://www.cabronmadrid.com/;https://maps.google.com/?cid=9205432406209407649;Retiro
Maison Jaguar, restaurante mexicano con espectáculo;40.4253764;-3.6833807;Maison Jaguar, Calle de Goya, 39, Salamanca, 28001 Madrid, Spain;44;7199;N/D;https://maisonjaguar.com/;https://maps.google.com/?cid=4690354285260856628;Retiro
La Metixe;40.4056265;-3.6774173;C. de Valderribas, 23, Retiro, 28007 Madrid, Spain;39;526;€;http://lametixe.es/;https://maps.google.com/?cid=724893768994279956;Retiro
Sal Mestiza;40.4342015;-3.6846105;Calle de Lagasca, 103, Salamanca, 28006 Madrid, Spain;44;457;N/D;https://www.salmestiza.com/;https://maps.google.com/?cid=14760693306606111554;Salamanca
Taquería La Lupita;40.4225647;-3.6854545;C. de Villanueva, 15, Salamanca, 28001 Madrid, Spain;42;2435;€€;http://lalupita.es/;https://maps.google.com/?cid=1245031476020359503;Salamanca
La Mordida;40.4345223;-3.6773663;Calle de Diego de León, 56, Salamanca, 28006 Madrid, Spain;47;4685;€€;http://www.lamordida.com/;https://maps.google.com/?cid=2662984549490550922;Salamanca
Restaurante Tepic;40.4278335;-3.6878708;Cl. de Ayala, 14, Salamanca, 28001 Madrid, Spain;43;2151;€€;http://www.tepic.es/;https://maps.google.com/?cid=4368416540140656812;Salamanca
La Rodaja Madrid;40.4296067;-3.6640837;Calle de Bocángel, 4, Salamanca, 28028 Madrid, Spain;46;1750;€;https://madrid.larodaja.com/reservas/;https://maps.google.com/?cid=9108973100512528650;Salamanca
El Zócalo;40.4298308;-3.6636157;C. de Alejandro González, 8, Salamanca, 28028 Madrid, Spain;46;1048;€€;http://www.elzocalo.es/;https://maps.google.com/?cid=4643502055778595641;Salamanca
XAMACH;40.4299991;-3.6717617;C. de José Ortega y Gasset, 83, Salamanca, 28006 Madrid, Spain;43;1782;€€;http://www.xamach.es/;https://maps.google.com/?cid=4896325743247813621;Salamanca
Restaurante El Bajío;40.4328599;-3.6805064;Calle de Juan Bravo, 23, Salamanca, 28006 Madrid, Spain;47;440;N/D;https://www.elbajio.es/;https://maps.google.com/?cid=13983496921558157965;Salamanca
Vive Mexico “la Taqueria del barrio”;40.4417306;-3.6798379;C. de San Julio, 2, Chamartín, 28002 Madrid, Spain;47;341;N/D;https://www.vivemexico.es/;https://maps.google.com/?cid=11108596481956986135;Salamanca
Cantina Mariachi;40.4275671;-3.6694642;C. Alcalá, 150, Salamanca, 28009 Madrid, Spain;40;110;N/D;https://www.cantinamariachi.com/;https://maps.google.com/?cid=16456092524414739152;Salamanca
Pituka & Petaka;40.4356345;-3.6759692;C/ de Francisco Silvela, 71, Salamanca, 28028 Madrid, Spain;46;855;N/D;http://barrestaurantepitukaypetaka.com/;https://maps.google.com/?cid=15025615721320620554;Salamanca
Los Aguachiles Jorge Juan;40.4236802;-3.6831119;C. de Jorge Juan, 34, Salamanca, 28001 Madrid, Spain;49;560;N/D;https://losaguachiles.es/;https://maps.google.com/?cid=17825387668086893512;Salamanca
Chona La Patrona Tacos & Tragos;40.4304327;-3.6750623;C. del Conde de Peñalver, 52, Salamanca, 28006 Madrid, Spain;46;774;€€;https://www.chona.es/;https://maps.google.com/?cid=10454543478780774403;Salamanca
Mexicanísimo Salamanca;40.4346836;-3.6830875;Calle Velázquez, 104, Salamanca, 28006 Madrid, Spain;41;37;N/D;https://www.mexicanisimo.es/;https://maps.google.com/?cid=11461322758617223669;Salamanca
RED PROJECT TACOS;40.4211826;-3.6899079;C/ de Villalar, Salamanca, 28001 Salamanca, Madrid, Spain;50;1;N/D;;https://maps.google.com/?cid=14345543085328754929;Salamanca
Malacopa - Maria De Molina;40.4376833;-3.6870064;Calle de María de Molina, 16, Salamanca, 28006 Madrid, Spain;46;305;N/D;https://www.malacopa.es/;https://maps.google.com/?cid=7824291167436192569;Salamanca
Lolo Taco Bar;40.4291785;-3.6898757;P.º de la Castellana, 23, Chamberí, 28046 Madrid, Spain;50;31;N/D;https://lolotacobar.com/;https://maps.google.com/?cid=14743462886719186528;Salamanca
Xipe Margaritas & Cocina Mexicana;40.4546675;-3.6909622;P.º de la Castellana, 105, Tetuán, 28046 Madrid, Spain;46;356;N/D;http://www.xipe.es/;https://maps.google.com/?cid=9549792915399017626;Salamanca
Los Aguachiles Velázquez;40.4369983;-3.6835193;Calle Velázquez, 117, Salamanca, 28006 Madrid, Spain;49;583;N/D;https://losaguachiles.es/;https://maps.google.com/?cid=8074722262065596731;Salamanca
La Única Madrid Restaurante;40.4209802;-3.685362;C. Alcalá, 87, Salamanca, 28001 Madrid, Spain;45;1921;€€€;https://launicamad.com/;https://maps.google.com/?cid=17271308504609511703;Salamanca
Mexkhal Cocina Mexicana;40.4542099;-3.6964239;C. de Fortunata y Jacinta, 23, 1A, Tetuán, 28020 Madrid, Spain;47;691;€€;http://www.mexkhal.com/;https://maps.google.com/?cid=6552336799640739418;Salamanca
La Xida;40.4372171;-3.687264;C. de López de Hoyos, 11, Salamanca, 28006 Madrid, Spain;47;636;N/D;https://www.laxida.com/;https://maps.google.com/?cid=7412484725947510364;Salamanca
Mamazzita Madrid Bar | Best Mexican Bar;40.4267407;-3.6894823;P.º de la Castellana, C. de Hermosilla, 4 Esquina, Salamanca, 28046 Madrid, Spain;48;35;N/D;https://www.mamazzitarestaurant.com/restaurante-bar-mexicano-madrid?utm_source=gmb&utm_medium=organic&utm_campaign=mamazzitamadrid&ot_source=gmb_3743_mam;https://maps.google.com/?cid=17472851341663294741;Salamanca
Mawey Taco Bar - Lopez de Hoyos;40.4372908;-3.6871201;C. de López de Hoyos, 13, Salamanca, 28006 Madrid, Spain;46;191;N/D;https://www.restaurantemawey.es/;https://maps.google.com/?cid=2047216769768341886;Salamanca
Tierra Burrito Bar;40.4376839;-3.6865454;C. de Serrano, 93, Salamanca, 28006 Madrid, Spain;44;3165;€;http://tierraburritos.com/;https://maps.google.com/?cid=17291927561262923098;Salamanca
Gracias Padre - Margarita Beach - Restaurante Mexicano;40.4365605;-3.6992103;Calle de Sta Engracia, 76, Chamberí, 28010 Madrid, Spain;47;745;N/D;https://www.graciaspadre.es/;https://maps.google.com/?cid=6672290911046910918;Salamanca
Don Tortilla Goya;40.4248367;-3.6715735;Calle de Goya, 119, Salamanca, 28009 Madrid, Spain;46;859;N/D;http://www.dontortilla.es/;https://maps.google.com/?cid=10384343845574502874;Salamanca
Las Mañanitas;40.442998;-3.7037667;C. de Bravo Murillo, 54, Chamberí, 28003 Madrid, Spain;43;1903;€€;http://www.mananitas.com/;https://maps.google.com/?cid=8500014631538058498;Salamanca
San Angelinn;40.4358735;-3.6844696;Calle de Lagasca, 117, bajo dcha, Salamanca, 28006 Madrid, Spain;45;176;N/D;;https://maps.google.com/?cid=6045500986867249569;Salamanca
Corazón de Maíz | Tortillería de Barrio;40.4230934;-3.6800176;C. Alcalá, 123, Salamanca, 28009 Madrid, Spain;45;366;N/D;;https://maps.google.com/?cid=4783386032204914369;Salamanca
Hijo del Maíz - Antojería Mexicana;40.47246;-3.6867239;C. de Mauricio Ravel, 4, Chamartín, 28046 Madrid, Spain;46;958;€€;https://hijodelmaiz.com/;https://maps.google.com/?cid=13904728302638993545;Chamartín
Órale Un Pedacito;40.4487482;-3.672656;C. de Pradillo, 30, Chamartín, 28002 Madrid, Spain;45;3080;€€;http://www.oraleunpedacito.com/;https://maps.google.com/?cid=2178560086423743377;Chamartín
